company_link,company_name,company_price,company_symbol
https://finance.yahoo.com/trending-tickers/quote/NQ%3DF?p=NQ%3DF,Nasdaq Futures,"13,188.50",NQ=F
https://finance.yahoo.com/trending-tickers/quote/ES%3DF?p=ES%3DF,S&P Futures,"4,136.50",ES=F
https://finance.yahoo.com/trending-tickers/quote/YM%3DF?p=YM%3DF,Dow Futures,"32,700.00",YM=F
https://finance.yahoo.com/trending-tickers/quote/CL%3DF?p=CL%3DF,Crude Oil,88.35,CL=F
https://finance.yahoo.com/trending-tickers/quote/PLUG?p=PLUG,Plug Power Inc.,25.19,PLUG
https://finance.yahoo.com/trending-tickers/quote/LVLU?p=LVLU,"Lulu's Fashion Lounge Holdings, Inc.",5.71,LVLU
https://finance.yahoo.com/trending-tickers/quote/SGFY?p=SGFY,"Signify Health, Inc.",19.87,SGFY
https://finance.yahoo.com/trending-tickers/quote/NQU22.CME?p=NQU22.CME,Nasdaq 100 Sep 22,"13,188.50",NQU22.CME
https://finance.yahoo.com/trending-tickers/quote/ESU22.CME?p=ESU22.CME,E-Mini S&P 500 Sep 22,"4,136.50",ESU22.CME
https://finance.yahoo.com/trending-tickers/quote/RTY%3DF?p=RTY%3DF,Russell 2000 Futures,"1,917.50",RTY=F
https://finance.yahoo.com/trending-tickers/quote/LRC-USD?p=LRC-USD,Loopring USD,0.476004,LRC-USD
https://finance.yahoo.com/trending-tickers/quote/NG%3DF?p=NG%3DF,Natural Gas Sep 22,7.849,NG=F
https://finance.yahoo.com/trending-tickers/quote/%5EN225?p=%5EN225,Nikkei 225,"28,158.09",^N225
https://finance.yahoo.com/trending-tickers/quote/RUN?p=RUN,Sunrun Inc.,33.24,RUN
https://finance.yahoo.com/trending-tickers/quote/SCHD?p=SCHD,Schwab U.S. Dividend Equity ETF,74.61,SCHD
https://finance.yahoo.com/trending-tickers/quote/GC%3DF?p=GC%3DF,Gold,"1,789.90",GC=F
https://finance.yahoo.com/trending-tickers/quote/FCEL?p=FCEL,"FuelCell Energy, Inc.",4.1500,FCEL
https://finance.yahoo.com/trending-tickers/quote/EURUSD%3DX?p=EURUSD%3DX,EUR/USD,1.0169,EURUSD=X
https://finance.yahoo.com/trending-tickers/quote/FSLR?p=FSLR,"First Solar, Inc.",101.90,FSLR
https://finance.yahoo.com/trending-tickers/quote/BE?p=BE,Bloom Energy Corporation,24.10,BE
https://finance.yahoo.com/trending-tickers/quote/PLTR?p=PLTR,Palantir Technologies Inc.,11.45,PLTR
https://finance.yahoo.com/trending-tickers/quote/9988.HK?p=9988.HK,Alibaba Group Holding Limited,92.900,9988.HK
https://finance.yahoo.com/trending-tickers/quote/%5EHSI?p=%5EHSI,HANG SENG INDEX,"20,201.94",^HSI
https://finance.yahoo.com/trending-tickers/quote/JPY%3DX?p=JPY%3DX,USD/JPY,135.1900,JPY=X
https://finance.yahoo.com/trending-tickers/quote/CHPT?p=CHPT,"ChargePoint Holdings, Inc.",16.06,CHPT
https://finance.yahoo.com/trending-tickers/quote/CLU22.NYM?p=CLU22.NYM,Crude Oil Sep 22,88.35,CLU22.NYM
https://finance.yahoo.com/trending-tickers/quote/BBBY?p=BBBY,Bed Bath & Beyond Inc.,8.16,BBBY
https://finance.yahoo.com/trending-tickers/quote/HNST?p=HNST,"The Honest Company, Inc.",3.5800,HNST
https://finance.yahoo.com/trending-tickers/quote/CVS?p=CVS,CVS Health Corporation,102.26,CVS
https://finance.yahoo.com/trending-tickers/quote/SI%3DF?p=SI%3DF,Silver,19.76,SI=F
company_link,company_name,company_price,company_symbol
https://finance.yahoo.com/trending-tickers/quote/NQ%3DF?p=NQ%3DF,Nasdaq Futures,"13,189.75",NQ=F
https://finance.yahoo.com/trending-tickers/quote/PLUG?p=PLUG,Plug Power Inc.,25.19,PLUG
https://finance.yahoo.com/trending-tickers/quote/ES%3DF?p=ES%3DF,S&P Futures,"4,135.50",ES=F
https://finance.yahoo.com/trending-tickers/quote/BTC-USD?p=BTC-USD,Bitcoin USD,"23,234.40",BTC-USD
https://finance.yahoo.com/trending-tickers/quote/YM%3DF?p=YM%3DF,Dow Futures,"32,692.00",YM=F
https://finance.yahoo.com/trending-tickers/quote/CL%3DF?p=CL%3DF,Crude Oil,88.45,CL=F
https://finance.yahoo.com/trending-tickers/quote/MEGL?p=MEGL,Magic Empire Global Limited,97.00,MEGL
https://finance.yahoo.com/trending-tickers/quote/BBBY?p=BBBY,Bed Bath & Beyond Inc.,8.16,BBBY
https://finance.yahoo.com/trending-tickers/quote/BRK-B?p=BRK-B,Berkshire Hathaway Inc.,292.07,BRK-B
https://finance.yahoo.com/trending-tickers/quote/ETH-USD?p=ETH-USD,Ethereum USD,"1,705.96",ETH-USD
https://finance.yahoo.com/trending-tickers/quote/%5EN225?p=%5EN225,Nikkei 225,"28,156.07",^N225
https://finance.yahoo.com/trending-tickers/quote/LVLU?p=LVLU,"Lulu's Fashion Lounge Holdings, Inc.",5.71,LVLU
https://finance.yahoo.com/trending-tickers/quote/SGFY?p=SGFY,"Signify Health, Inc.",19.87,SGFY
https://finance.yahoo.com/trending-tickers/quote/LRC-USD?p=LRC-USD,Loopring USD,0.475130,LRC-USD
https://finance.yahoo.com/trending-tickers/quote/ESU22.CME?p=ESU22.CME,E-Mini S&P 500 Sep 22,"4,135.50",ESU22.CME
https://finance.yahoo.com/trending-tickers/quote/DOGE-USD?p=DOGE-USD,Dogecoin USD,0.069291,DOGE-USD
https://finance.yahoo.com/trending-tickers/quote/NG%3DF?p=NG%3DF,Natural Gas Sep 22,7.865,NG=F
https://finance.yahoo.com/trending-tickers/quote/FSLR?p=FSLR,"First Solar, Inc.",101.90,FSLR
https://finance.yahoo.com/trending-tickers/quote/BRK-A?p=BRK-A,Berkshire Hathaway Inc.,"439,528.91",BRK-A
https://finance.yahoo.com/trending-tickers/quote/RUN?p=RUN,Sunrun Inc.,33.24,RUN
https://finance.yahoo.com/trending-tickers/quote/ILAG?p=ILAG,Intelligent Living Application Group Inc.,3.6000,ILAG
https://finance.yahoo.com/trending-tickers/quote/BTC-CAD?p=BTC-CAD,Bitcoin CAD,"30,071.49",BTC-CAD
https://finance.yahoo.com/trending-tickers/quote/ADA-USD?p=ADA-USD,Cardano USD,0.525584,ADA-USD
https://finance.yahoo.com/trending-tickers/quote/JPY%3DX?p=JPY%3DX,USD/JPY,135.1220,JPY=X
https://finance.yahoo.com/trending-tickers/quote/FCEL?p=FCEL,"FuelCell Energy, Inc.",4.1500,FCEL
https://finance.yahoo.com/trending-tickers/quote/ETH-CAD?p=ETH-CAD,Ethereum CAD,"2,207.97",ETH-CAD
https://finance.yahoo.com/trending-tickers/quote/OZL.AX?p=OZL.AX,OZ Minerals Limited,25.64,OZL.AX
https://finance.yahoo.com/trending-tickers/quote/EURUSD%3DX?p=EURUSD%3DX,EUR/USD,1.0173,EURUSD=X
https://finance.yahoo.com/trending-tickers/quote/IRBT?p=IRBT,iRobot Corporation,59.54,IRBT
https://finance.yahoo.com/trending-tickers/quote/AVAX-USD?p=AVAX-USD,Avalanche USD,27.73,AVAX-USD
