company_link,company_name,company_price,company_symbol
https://finance.yahoo.com/trending-tickers/quote/PLUG?p=PLUG,Plug Power Inc.,<50,PLUG
https://finance.yahoo.com/trending-tickers/quote/NQ%3DF?p=NQ%3DF,Nasdaq Futures,"13,222.50",NQ=F
https://finance.yahoo.com/trending-tickers/quote/MEGL?p=MEGL,Magic Empire Global Limited,97.00,MEGL
https://finance.yahoo.com/trending-tickers/quote/BBBY?p=BBBY,Bed Bath & Beyond Inc.,<50,BBBY
https://finance.yahoo.com/trending-tickers/quote/BTC-USD?p=BTC-USD,Bitcoin USD,"23,311.19",BTC-USD
https://finance.yahoo.com/trending-tickers/quote/ES%3DF?p=ES%3DF,S&P Futures,"4,141.50",ES=F
https://finance.yahoo.com/trending-tickers/quote/BRK-B?p=BRK-B,Berkshire Hathaway Inc.,>100,BRK-B
https://finance.yahoo.com/trending-tickers/quote/YM%3DF?p=YM%3DF,Dow Futures,"32,735.00",YM=F
https://finance.yahoo.com/trending-tickers/quote/BRK-A?p=BRK-A,Berkshire Hathaway Inc.,"439,528.91",BRK-A
https://finance.yahoo.com/trending-tickers/quote/%5EHSI?p=%5EHSI,HANG SENG INDEX,"20,050.15",^HSI
https://finance.yahoo.com/trending-tickers/quote/ILAG?p=ILAG,Intelligent Living Application Group Inc.,<50,ILAG
https://finance.yahoo.com/trending-tickers/quote/CL%3DF?p=CL%3DF,Crude Oil,89.56,CL=F
https://finance.yahoo.com/trending-tickers/quote/PLTR?p=PLTR,Palantir Technologies Inc.,<50,PLTR
https://finance.yahoo.com/trending-tickers/quote/IRBT?p=IRBT,iRobot Corporation,59.54,IRBT
https://finance.yahoo.com/trending-tickers/quote/SGFY?p=SGFY,"Signify Health, Inc.",<50,SGFY
https://finance.yahoo.com/trending-tickers/quote/9988.HK?p=9988.HK,Alibaba Group Holding Limited,89.250,9988.HK
https://finance.yahoo.com/trending-tickers/quote/%5EN225?p=%5EN225,Nikkei 225,"28,248.89",^N225
https://finance.yahoo.com/trending-tickers/quote/SHIB-USD?p=SHIB-USD,SHIBA INU USD,<50,SHIB-USD
https://finance.yahoo.com/trending-tickers/quote/RUN?p=RUN,Sunrun Inc.,<50,RUN
https://finance.yahoo.com/trending-tickers/quote/NQU22.CME?p=NQU22.CME,Nasdaq 100 Sep 22,"13,222.50",NQU22.CME
https://finance.yahoo.com/trending-tickers/quote/LVLU?p=LVLU,"Lulu's Fashion Lounge Holdings, Inc.",<50,LVLU
https://finance.yahoo.com/trending-tickers/quote/ETH-USD?p=ETH-USD,Ethereum USD,"1,710.25",ETH-USD
https://finance.yahoo.com/trending-tickers/quote/OZL.AX?p=OZL.AX,OZ Minerals Limited,<50,OZL.AX
https://finance.yahoo.com/trending-tickers/quote/LRC-USD?p=LRC-USD,Loopring USD,<50,LRC-USD
https://finance.yahoo.com/trending-tickers/quote/FCEL?p=FCEL,"FuelCell Energy, Inc.",<50,FCEL
https://finance.yahoo.com/trending-tickers/quote/UPST?p=UPST,"Upstart Holdings, Inc.",<50,UPST
https://finance.yahoo.com/trending-tickers/quote/9866.HK?p=9866.HK,NIO Inc.,>100,9866.HK
https://finance.yahoo.com/trending-tickers/quote/BE?p=BE,Bloom Energy Corporation,<50,BE
https://finance.yahoo.com/trending-tickers/quote/TATAELXSI.NS?p=TATAELXSI.NS,Tata Elxsi Limited,"9,560.60",TATAELXSI.NS
https://finance.yahoo.com/trending-tickers/quote/SHIB-CAD?p=SHIB-CAD,SHIBA INU CAD,<50,SHIB-CAD
